date,country,mportret,mportretx
19980731,AUSTRALIA,0.0401532822,0.0307946703
19980831,AUSTRALIA,-0.068569462,-0.071276852
19980930,AUSTRALIA,0.0497500431,0.0418299258
19981030,AUSTRALIA,0.0242500475,0.0201044766
19981130,AUSTRALIA,0.0433846894,0.0385497625
19981231,AUSTRALIA,0.0203420097,0.0176484284
19990129,AUSTRALIA,0.0179198354,0.0174444004
19990226,AUSTRALIA,0.0082274868,0.0054467613
19990331,AUSTRALIA,0.0406861492,0.034525021
19990430,AUSTRALIA,0.0486643251,0.0471599334
19990531,AUSTRALIA,-0.061952995,-0.063621635
19990630,AUSTRALIA,0.0146170295,0.0088114274
19990730,AUSTRALIA,0.0060312183,0.0055492321
19990831,AUSTRALIA,-0.007177704,-0.009482777
19990930,AUSTRALIA,-0.008482137,-0.019000374
19991029,AUSTRALIA,0.0045170897,0.0012268488
19991130,AUSTRALIA,0.0588458129,0.0550812369
19991230,AUSTRALIA,0.0121031478,0.0105477405
20000131,AUSTRALIA,-0.03993751,-0.040275456
20000229,AUSTRALIA,-0.02006796,-0.025920496
20000331,AUSTRALIA,0.0147090977,0.0079099139
20000428,AUSTRALIA,0.0073164593,0.006835695
20000531,AUSTRALIA,0.0004375687,-0.0011993
20000630,AUSTRALIA,0.0567471642,0.0507959484
20000731,AUSTRALIA,-0.000265956,-0.000422694
20000831,AUSTRALIA,-0.000395457,-0.002161396
20000929,AUSTRALIA,-0.017827651,-0.026376298
20001031,AUSTRALIA,0.0326279547,0.0286765513
20001130,AUSTRALIA,0.034425524,0.0278284842
20001229,AUSTRALIA,-0.007446853,-0.008342728
20010131,AUSTRALIA,0.029675124,0.0296281287
20010228,AUSTRALIA,-0.01248901,-0.015502903
20010330,AUSTRALIA,-0.031480757,-0.037844988
20010430,AUSTRALIA,0.0401434789,0.0391437395
20010531,AUSTRALIA,0.0260592226,0.0242978409
20010629,AUSTRALIA,0.025112812,0.0199182981
20010731,AUSTRALIA,-0.053838312,-0.054078619
20010831,AUSTRALIA,0.0064040097,0.003049062
20010928,AUSTRALIA,-0.049766771,-0.05600315
20011031,AUSTRALIA,0.060513995,0.0583450542
20011130,AUSTRALIA,0.0351929918,0.0295335306
20011231,AUSTRALIA,0.0209682125,0.0198489415
20020131,AUSTRALIA,0.0273271169,0.0272825105
20020228,AUSTRALIA,-0.001934107,-0.004478803
20020328,AUSTRALIA,0.0052279497,-0.001865424
20020430,AUSTRALIA,-0.014436727,-0.015559255
20020531,AUSTRALIA,-0.000138776,-0.001686958
20020628,AUSTRALIA,-0.022558725,-0.027758571
20020731,AUSTRALIA,-0.037931313,-0.042064225
20020830,AUSTRALIA,0.016172196,0.0124242704
20020930,AUSTRALIA,-0.039590915,-0.046956754
20021031,AUSTRALIA,0.0120999715,0.0093431754
20021129,AUSTRALIA,-0.005563197,-0.010792622
20021231,AUSTRALIA,-0.010013986,-0.018772708
20030131,AUSTRALIA,-0.013175472,-0.013298196
20030228,AUSTRALIA,-0.053204037,-0.056425798
20030331,AUSTRALIA,0.0399919391,0.0195127396
20030430,AUSTRALIA,0.0458761324,0.0448173078
20030530,AUSTRALIA,0.0056135793,0.0029874597
20030630,AUSTRALIA,0.0201777513,0.0137649018
20030731,AUSTRALIA,0.0362259513,0.0358265153
20030829,AUSTRALIA,0.028341569,0.0248971822
20030930,AUSTRALIA,0.0079195642,-0.000588017
20031031,AUSTRALIA,0.0350709816,0.0335952913
20031128,AUSTRALIA,-0.016454627,-0.022209675
20031231,AUSTRALIA,0.0359234535,0.0299417943
20040130,AUSTRALIA,-0.006804077,-0.006843986
20040227,AUSTRALIA,0.0293123271,0.0256353838
20040331,AUSTRALIA,0.0227621916,0.0144188926
20040430,AUSTRALIA,-0.008644851,-0.010051845
20040531,AUSTRALIA,0.014790882,0.0129105059
20040630,AUSTRALIA,0.0326626181,0.0270899367
20040730,AUSTRALIA,0.0080264695,0.0077094498
20040831,AUSTRALIA,0.0205313277,0.013994967
20040930,AUSTRALIA,0.0369221434,0.0296644788
20041029,AUSTRALIA,0.0394409103,0.0382921563
20041130,AUSTRALIA,0.0458853629,0.0402218901
20041231,AUSTRALIA,0.0278819068,0.0247993933
20050131,AUSTRALIA,0.0197050935,0.0195379503
20050228,AUSTRALIA,0.0229464325,0.0170460732
20050331,AUSTRALIA,-0.008867669,-0.016624796
20050429,AUSTRALIA,-0.032674619,-0.033627296
20050531,AUSTRALIA,0.0273159912,0.0253653713
20050630,AUSTRALIA,0.0451410305,0.0397011673
20050729,AUSTRALIA,0.0192845456,0.0186304457
20050831,AUSTRALIA,0.0211090732,0.0146266347
20050930,AUSTRALIA,0.0444426647,0.0363262319
20051031,AUSTRALIA,-0.035116643,-0.036126173
20051130,AUSTRALIA,0.0377283252,0.030615779
20051230,AUSTRALIA,0.0276649381,0.0250375479
20060131,AUSTRALIA,0.0363400749,0.0362877822
20060228,AUSTRALIA,0.0093271895,0.0011829161
20060331,AUSTRALIA,0.0428762001,0.0377927614
20060428,AUSTRALIA,0.0274538908,0.0269601046
20060531,AUSTRALIA,-0.043736861,-0.046293346
20060630,AUSTRALIA,0.0179435826,0.0122265412
20060731,AUSTRALIA,-0.012177444,-0.013599061
20060831,AUSTRALIA,0.0331345218,0.0252801534
20060929,AUSTRALIA,0.0132454207,0.0074500766
20061031,AUSTRALIA,0.045500533,0.0434150152
20061130,AUSTRALIA,0.0246913132,0.0200575485
20061229,AUSTRALIA,0.0379661244,0.0356434977
20070131,AUSTRALIA,0.0190618806,0.0189763355
20070228,AUSTRALIA,0.0172554742,0.0107171829
20070330,AUSTRALIA,0.0345009827,0.0292746551
20070430,AUSTRALIA,0.0303593866,0.0298980812
20070531,AUSTRALIA,0.0287890478,0.0259379988
20070629,AUSTRALIA,0.0007589727,-0.007798485
20070731,AUSTRALIA,-0.017571029,-0.017743897
20070831,AUSTRALIA,0.0129203063,0.0054397276
20070928,AUSTRALIA,0.0537868189,0.0493544945
20071031,AUSTRALIA,0.0335422434,0.0326025827
20071130,AUSTRALIA,-0.035938041,-0.039813841
20071231,AUSTRALIA,-0.020993257,-0.029962164
20080131,AUSTRALIA,-0.114041542,-0.114705478
20080229,AUSTRALIA,-0.003268015,-0.009677264
20080331,AUSTRALIA,-0.040430722,-0.046502538
20080430,AUSTRALIA,0.0481957439,0.0472523598
20080530,AUSTRALIA,0.0263594703,0.0223944395
20080630,AUSTRALIA,-0.077195584,-0.080289868
20080731,AUSTRALIA,-0.050409501,-0.050872688
20080829,AUSTRALIA,0.0422583876,0.033132614
20080930,AUSTRALIA,-0.094868669,-0.100583533
20081031,AUSTRALIA,-0.140368399,-0.141271495
20081128,AUSTRALIA,-0.062850239,-0.069764352
20081231,AUSTRALIA,0.0032310723,0.000430241
20090130,AUSTRALIA,-0.050418952,-0.050513088
20090227,AUSTRALIA,-0.049284624,-0.059156634
20090331,AUSTRALIA,0.0789563065,0.0690672915
20090430,AUSTRALIA,0.0603088234,0.0597301835
20090529,AUSTRALIA,0.0175381587,0.0147614984
20090630,AUSTRALIA,0.040841754,0.0368713415
20090731,AUSTRALIA,0.0766059266,0.0762037011
20090831,AUSTRALIA,0.0700906651,0.0599981465
20090930,AUSTRALIA,0.0628486397,0.0586878463
20091030,AUSTRALIA,-0.020653505,-0.021767794
20091130,AUSTRALIA,0.0159890364,0.0111618711
20091231,AUSTRALIA,0.0353320366,0.0339502373
20100129,AUSTRALIA,-0.054593825,-0.055041853
20100226,AUSTRALIA,0.0174843457,0.0106384572
20100331,AUSTRALIA,0.0547366932,0.0483457384
20100430,AUSTRALIA,-0.011689116,-0.012020066
20100531,AUSTRALIA,-0.078057493,-0.081197157
20100630,AUSTRALIA,-0.026866241,-0.029685185
20100730,AUSTRALIA,0.0415764676,0.0404364081
20100831,AUSTRALIA,-0.00869085,-0.017404477
20100930,AUSTRALIA,0.0490979027,0.0430549167
20101029,AUSTRALIA,0.0200280031,0.0189793321
20101130,AUSTRALIA,-0.007169419,-0.013035017
20101231,AUSTRALIA,0.0376741083,0.0310520628
20110131,AUSTRALIA,0.0027529775,0.0025843686
20110228,AUSTRALIA,0.0223725403,0.014353473
20110331,AUSTRALIA,0.0063935361,0.0007499169
20110429,AUSTRALIA,-0.005537851,-0.005962935
20110531,AUSTRALIA,-0.021164923,-0.027241805
20110630,AUSTRALIA,-0.023048963,-0.028489521
20110729,AUSTRALIA,-0.033111354,-0.03340082
20110831,AUSTRALIA,-0.019062848,-0.028410346
20110930,AUSTRALIA,-0.061088381,-0.067056677
20111031,AUSTRALIA,0.0707566545,0.0699585487
20111130,AUSTRALIA,-0.033443556,-0.039856994
20111230,AUSTRALIA,-0.015367406,-0.01860918
20120131,AUSTRALIA,0.049636325,0.0495567279
20120229,AUSTRALIA,0.0254269975,0.015563524
20120330,AUSTRALIA,0.0133169173,0.0089245611
20120430,AUSTRALIA,0.0111368398,0.0105958853
20120531,AUSTRALIA,-0.066152819,-0.072033426
20120629,AUSTRALIA,0.0045786767,0.0020542887
20120731,AUSTRALIA,0.0394189629,0.0389926046
20120831,AUSTRALIA,0.0220760836,0.0119243395
20120928,AUSTRALIA,0.0196965693,0.0139310878
20121031,AUSTRALIA,0.0306782079,0.0300454997
20121130,AUSTRALIA,0.0025116951,-0.004376937
20121231,AUSTRALIA,0.0333486875,0.0314831522
20130131,AUSTRALIA,0.0511651617,0.051017925
20130228,AUSTRALIA,0.0521426832,0.044728216
20130328,AUSTRALIA,-0.019877234,-0.024806174
20130430,AUSTRALIA,0.0398372585,0.0390066437
20130531,AUSTRALIA,-0.046783786,-0.053746976
20130628,AUSTRALIA,-0.024501802,-0.027955065
20130731,AUSTRALIA,0.0549163718,0.0547685409
20130830,AUSTRALIA,0.0261303608,0.0174888515
20130930,AUSTRALIA,0.0231578015,0.0173570259
20131031,AUSTRALIA,0.0406497952,0.0402568525
20131129,AUSTRALIA,-0.015268068,-0.021822486
20131231,AUSTRALIA,0.0077292204,0.0038554354
20140131,AUSTRALIA,-0.027607509,-0.027771488
20140228,AUSTRALIA,0.0488902984,0.0405502661
20140331,AUSTRALIA,0.0041253373,-0.00051037
20140430,AUSTRALIA,0.0138818466,0.0134932025
20140530,AUSTRALIA,0.0065116645,0.0006865287
20140630,AUSTRALIA,-0.015023277,-0.023405655
20140731,AUSTRALIA,0.044462411,0.0443074357
20140829,AUSTRALIA,0.0082677208,0.0008568601
20140930,AUSTRALIA,-0.052233012,-0.057839486
20141031,AUSTRALIA,0.0405123604,0.0401307357
20141128,AUSTRALIA,-0.032696524,-0.039563977
20141231,AUSTRALIA,0.017875784,0.0156075948
20150130,AUSTRALIA,0.0320776245,0.0320011666
20150227,AUSTRALIA,0.0675350873,0.0596427835
20150331,AUSTRALIA,0.000973225,-0.004727675
20150430,AUSTRALIA,-0.014527353,-0.014904125
20150529,AUSTRALIA,0.0049336632,-0.005214584
20150630,AUSTRALIA,-0.052122769,-0.054082667
20150731,AUSTRALIA,0.0422785084,0.0422027486
20150831,AUSTRALIA,-0.072997942,-0.081019148
20150930,AUSTRALIA,-0.025159715,-0.031297453
20151030,AUSTRALIA,0.0440737314,0.0431963716
20151130,AUSTRALIA,-0.005540011,-0.011935889
20151231,AUSTRALIA,0.0299253352,0.0275418325
20160129,AUSTRALIA,-0.053157016,-0.053235692
20160229,AUSTRALIA,-0.018715067,-0.027068445
20160331,AUSTRALIA,0.0474141264,0.0410601708
20160429,AUSTRALIA,0.0295956519,0.0290664899
20160531,AUSTRALIA,0.0307885989,0.0244110312
20160630,AUSTRALIA,-0.021568582,-0.023996061
20160729,AUSTRALIA,0.0621753646,0.0620695809
20160831,AUSTRALIA,-0.013771541,-0.021110619
20160930,AUSTRALIA,0.0043814244,-0.000450088
20161031,AUSTRALIA,-0.021100121,-0.021657008
20161130,AUSTRALIA,0.0237251293,0.017342475
20161230,AUSTRALIA,0.0403939564,0.0379011806
20170131,AUSTRALIA,-0.0075842,-0.007649609
20170228,AUSTRALIA,0.0226990014,0.0171441914
20170331,AUSTRALIA,0.0321012775,0.0248204939
20170428,AUSTRALIA,0.0066051629,0.0061020025
20170531,AUSTRALIA,-0.027459028,-0.033110591
20170630,AUSTRALIA,0.0012788031,-0.000996216
20170731,AUSTRALIA,0.0037859494,0.0036409774
20170831,AUSTRALIA,0.0067980876,-0.000763448
20170929,AUSTRALIA,0.0005188713,-0.005276666
20171031,AUSTRALIA,0.0400155795,0.039662639
20171130,AUSTRALIA,0.0194331203,0.0132408172
20171229,AUSTRALIA,0.0191069521,0.016894629
20180131,AUSTRALIA,-0.003226824,-0.003308841
20180228,AUSTRALIA,-0.000810139,-0.007752014
20180329,AUSTRALIA,-0.03579905,-0.04031676
20180430,AUSTRALIA,0.0340047473,0.0334762914
20180531,AUSTRALIA,0.0145329864,0.0070539097
20180629,AUSTRALIA,0.0289479607,0.0266426815
20180731,AUSTRALIA,0.0137110613,0.013607496
20180831,AUSTRALIA,0.0194547054,0.0103187361
20180928,AUSTRALIA,-0.01150923,-0.017114303
20181031,AUSTRALIA,-0.063529168,-0.064459846
20181130,AUSTRALIA,-0.020175635,-0.033975801
20181231,AUSTRALIA,-0.00527507,-0.007694671
20190131,AUSTRALIA,0.0372110454,0.0343647619
20190228,AUSTRALIA,0.0577826482,0.0483826468
20190329,AUSTRALIA,0.0052349262,0.0001518296
19990730,AUSTRIA,-0.040830386,-0.042562818
19990831,AUSTRIA,0.0186486211,0.0186486211
19990930,AUSTRIA,-0.062270731,-0.062270731
19991029,AUSTRIA,0.0135840564,0.0135840564
19991130,AUSTRIA,0.0132283682,0.0132283682
19991229,AUSTRIA,0.0522106661,0.0522106661
20000131,AUSTRIA,-0.059603545,-0.060525044
20000229,AUSTRIA,-0.041532568,-0.041532568
20000331,AUSTRIA,0.0275747133,0.0275209767
20000428,AUSTRIA,0.0010332479,0.00028542
20000531,AUSTRIA,0.0131762757,0.0064613399
20000630,AUSTRIA,0.0014314702,0.0002524888
20000731,AUSTRIA,0.0135440007,0.0117229561
20000831,AUSTRIA,0.0147080286,0.014553335
20000929,AUSTRIA,0.0028325598,0.0028325598
20001031,AUSTRIA,-0.029945824,-0.029945824
20001130,AUSTRIA,-0.056129076,-0.056129076
20001228,AUSTRIA,0.0231925955,0.0231925955
20010131,AUSTRIA,0.0259157389,0.0249622628
20010228,AUSTRIA,0.0712566376,0.0712566376
20010330,AUSTRIA,-0.012303568,-0.013074296
20010430,AUSTRIA,0.0125909054,0.0119995859
20010531,AUSTRIA,-0.003843873,-0.023056011
20010629,AUSTRIA,0.0022517808,0.0010274363
20010731,AUSTRIA,0.0256267649,0.0212389131
20010831,AUSTRIA,-0.022423306,-0.022423306
20010928,AUSTRIA,-0.076129685,-0.076129685
20011031,AUSTRIA,-0.003251728,-0.003251728
20011130,AUSTRIA,0.0486861961,0.0486861961
20011228,AUSTRIA,0.015629079,0.0155264202
20020131,AUSTRIA,0.0240415252,0.0231478666
20020228,AUSTRIA,0.0211842989,0.0211842989
20020328,AUSTRIA,0.0508796909,0.050167878
20020430,AUSTRIA,0.0325269805,0.0304805479
20020531,AUSTRIA,-0.008225152,-0.018541809
20020628,AUSTRIA,-0.039456908,-0.041251586
20020731,AUSTRIA,-0.049959413,-0.052969804
20020830,AUSTRIA,-0.00885075,-0.00885075
20020930,AUSTRIA,-0.045609666,-0.045609666
20021031,AUSTRIA,0.0037854346,0.0037854346
20021129,AUSTRIA,0.0237203668,0.0237203668
20021230,AUSTRIA,0.0439485404,0.0439485404
20030131,AUSTRIA,0.0135912154,0.0126352064
20030228,AUSTRIA,0.0055764474,0.0055764474
20030331,AUSTRIA,0.0041662332,0.0041662332
20030430,AUSTRIA,0.0429307419,0.0398608678
20030530,AUSTRIA,0.0335093009,0.0233112769
20030630,AUSTRIA,0.0376978307,0.0353800482
20030731,AUSTRIA,0.0081678817,0.0051819137
20030829,AUSTRIA,0.0189743441,0.0189743441
20030930,AUSTRIA,-0.011048768,-0.011048768
20031031,AUSTRIA,0.0299154391,0.0299154391
20031128,AUSTRIA,0.0396942233,0.0396942233
20031230,AUSTRIA,0.030777179,0.030777179
20040130,AUSTRIA,0.0951880247,0.0943656254
20040227,AUSTRIA,0.0420670987,0.0420670987
20040331,AUSTRIA,0.0447056217,0.0439101067
20040430,AUSTRIA,0.0249358073,0.0235761992
20040528,AUSTRIA,-0.010877151,-0.019424224
20040630,AUSTRIA,0.0551738402,0.051267993
20040730,AUSTRIA,0.017188127,0.0153863446
20040831,AUSTRIA,-0.00606684,-0.00606684
20040930,AUSTRIA,0.0246346259,0.0246346259
20041029,AUSTRIA,0.0283487356,0.0283487356
20041130,AUSTRIA,0.0793485077,0.0793485077
20041230,AUSTRIA,0.0537959969,0.0537959969
20050131,AUSTRIA,0.0287644972,0.0281255971
20050228,AUSTRIA,0.0727498823,0.0727498823
20050331,AUSTRIA,-0.021885771,-0.022591832
20050429,AUSTRIA,-0.03592432,-0.036867421
20050531,AUSTRIA,0.08426377,0.0701315597
20050630,AUSTRIA,0.0809072376,0.0797612914
20050729,AUSTRIA,0.0171885766,0.0157784284
20050831,AUSTRIA,0.0473209852,0.0473209852
20050930,AUSTRIA,0.049413387,0.049413387
20051031,AUSTRIA,-0.042761597,-0.042761597
20051130,AUSTRIA,0.0407871335,0.0394058355
20051229,AUSTRIA,0.0452759934,0.0452759934
20060131,AUSTRIA,0.0862659102,0.0857695125
20060228,AUSTRIA,0.0360045227,0.0360045227
20060331,AUSTRIA,0.0133301468,0.0126491196
20060428,AUSTRIA,0.0065775268,0.0050459547
20060531,AUSTRIA,-0.074423488,-0.085108755
20060630,AUSTRIA,0.0080357783,0.0063567538
20060731,AUSTRIA,0.009784987,0.008387272
20060831,AUSTRIA,0.0136004086,0.0136004086
20060929,AUSTRIA,0.0380984314,0.0380984314
20061031,AUSTRIA,0.0562941215,0.0562941215
20061130,AUSTRIA,-0.003672587,-0.003672587
20061228,AUSTRIA,0.0870199245,0.0870199245
20070131,AUSTRIA,0.029810633,0.0293850796
20070228,AUSTRIA,-0.034395015,-0.034395015
20070330,AUSTRIA,0.055905285,0.0550586735
20070430,AUSTRIA,0.0202745171,0.0198545804
20070531,AUSTRIA,0.0360750844,0.0269109152
20070629,AUSTRIA,-0.001533722,-0.007027582
20070731,AUSTRIA,-0.03717513,-0.039006625
20070831,AUSTRIA,-0.026518328,-0.026518328
20070928,AUSTRIA,-0.011898208,-0.011898208
20071031,AUSTRIA,0.0572310282,0.0561740735
20071130,AUSTRIA,-0.074630801,-0.074630801
20071228,AUSTRIA,0.0024131352,0.0024131352
